Project ID,Start Term,X Stu First Gen No Bach ,X Stu First Gen No College ,Pell Grant?,Midterm GPA,Athlete (December),X Stu Cum Gpa (December),X Stu Housing Fall,Retained to Fall 2?,Retained to Fall 3,Fall Campus Job?,# of campus orgs (December),# Midterm D or F,% of Midterm Grades are D or F,# Non-Lab STEM Courses,# STEM Courses Earned Credit,% of STEM Courses earning credit,# Classes Passed,% of Classes Passed
1637,2019FA,Yes,Yes,Yes,0,No,0,RESIDENT,No,Not Applicable,No,0,3,50.00%,4,0,0.00%,0,0.00%
1638,2019FA,Yes,No,No,2.5,No,,RESIDENT,No,Not Applicable,No,0,0,0.00%,0,0,Not Applicable,0,0.00%
1639,2019FA,No,No,No,2.75,Yes,2.575,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,4,100.00%
1640,2019FA,No,No,Yes,2.75,No,2.85,RESIDENT,Yes,Not Applicable,Yes,1,0,0.00%,0,0,Not Applicable,4,100.00%
1641,2019FA,Unknown,Unknown,Yes,2.5,No,2.5,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,4,100.00%
1642,2019FA,Yes,No,Yes,1.1429,No,1.257,RESIDENT,No,Not Applicable,No,1,2,33.30%,2,0,0.00%,3,60.00%
1643,2019FA,Yes,No,Yes,2.75,No,2.675,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,4,100.00%
1644,2019FA,Yes,Yes,No,3.75,No,4,RESIDENT,Yes,Not Applicable,No,0,0,0.00%,0,0,Not Applicable,4,100.00%
1645,2019FA,Yes,No,No,3.25,No,3.425,COMMUTER,No,Not Applicable,No,0,0,0.00%,0,0,Not Applicable,4,100.00%
1646,2019FA,No,No,Yes,1.6667,No,2,RESIDENT,Yes,Not Applicable,No,1,1,25.00%,1,1,100.00%,3,100.00%
1647,2019FA,No,No,Yes,0.5714,Yes,0.333,RESIDENT,No,Not Applicable,No,2,3,60.00%,2,1,50.00%,2,50.00%
1648,2019FA,No,No,Yes,2.75,No,3.425,RESIDENT,Yes,Not Applicable,No,2,0,0.00%,0,0,Not Applicable,4,100.00%
1649,2019FA,No,No,Yes,3.25,No,2.825,COMMUTER,No,Not Applicable,Yes,2,0,0.00%,0,0,Not Applicable,4,100.00%
1650,2019FA,No,No,No,2.25,No,1.5,RESIDENT,Yes,Not Applicable,No,1,1,25.00%,0,0,Not Applicable,3,75.00%
1651,2019FA,Yes,No,No,1,No,1.9,RESIDENT,Yes,Not Applicable,No,1,3,75.00%,1,1,100.00%,3,75.00%
1652,2019FA,Yes,No,Yes,2.7778,No,2.778,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,2,2,100.00%,5,100.00%
1653,2019FA,No,No,No,2.3333,No,2.044,RESIDENT,Yes,Not Applicable,No,2,1,20.00%,0,0,Not Applicable,4,80.00%
1654,2019FA,No,No,Yes,2.25,No,2.567,RESIDENT,Yes,Not Applicable,No,0,1,25.00%,1,0,0.00%,3,75.00%
1655,2019FA,Yes,Yes,Yes,3.2941,No,1.576,RESIDENT,No,Not Applicable,No,1,0,0.00%,0,0,Not Applicable,5,100.00%
1656,2019FA,No,No,Yes,2.25,No,2.575,RESIDENT,Yes,Not Applicable,Yes,1,2,50.00%,1,1,100.00%,4,100.00%
1657,2019FA,No,No,No,3.75,No,3.925,RESIDENT,Yes,Not Applicable,No,1,0,0.00%,2,2,100.00%,4,100.00%
1658,2019FA,Yes,No,No,0.6667,Yes,0,COMMUTER,No,Not Applicable,No,1,2,50.00%,0,0,Not Applicable,0,0.00%
